EventType,Event
TOTAL_ORDERS,17
TOTAL_FILLED,9
AVG_ABS_SLIPPAGE,0.0
NET_SLIPPAGE,0
MAX_ABS_SLIPPAGE,0
PCT_IN,100
PCT_OUT,0
AVG_TIME,0.448633
SLIP_ADJ_PCT_PROFIT,-0.0019
FINAL_PCT_PROFIT,-0.0019
STARTING_CASH,$53525361.90
ENDING_CASH,$53524346.93
