EventType,Event
TOTAL_ORDERS,8
TOTAL_FILLED,2
AVG_ABS_SLIPPAGE,0.0
NET_SLIPPAGE,0
MAX_ABS_SLIPPAGE,0
PCT_IN,100
PCT_OUT,0
AVG_TIME,1.002897
AVG_SIZE,28616.5
SLIP_ADJ_PCT_PROFIT,0.00037
FINAL_PCT_PROFIT,0.00037
STARTING_CASH,$57890706.72
ENDING_CASH,$57890920.92
