EventType,Event
ASK_DEPTH,"[(10336, 154)]"
IMBALANCE,"[50652, 154]"
BID_DEPTH,"[(10159, 419)]"
ASK_DEPTH,"[(10179, 419)]"
IMBALANCE,"[419, 419]"
FINAL_HOLDINGS,{ CASH: 4614826040 }
FINAL_CASH_POSITION,4614826040
ENDING_CASH,$46148260.40
No orders executed,
FINAL_PCT_PROFIT,0.0
STARTING_CASH,$46148260.40
ENDING_CASH,$46148260.40
