EventType,Event
TOTAL_FILLED,3
AVG_ABS_SLIPPAGE,0.0
NET_SLIPPAGE,0
MAX_ABS_SLIPPAGE,0
PCT_IN,100
PCT_OUT,0
AVG_TIME,2.004897
AVG_SIZE,34588.666666666664
SLIP_ADJ_PCT_PROFIT,-7e-05
FINAL_PCT_PROFIT,-7e-05
STARTING_CASH,$53525361.90
ENDING_CASH,$53525324.65
