AgentType,TotalOrders,AvgAbsSlippage,NetSlippage,MaxAbsSlippage,PctIn,PctOut,AvgTime,FinalPctProfit,SlipAdjPctProfit
HeuristicBeliefLearningAgent,12,0.0,0,0,100,0,0.225356,-0.00236,-0.00236
HeuristicBeliefLearningAgent,20,0.0,0,0,100,0,0.287992,-0.00081,-0.00081
HeuristicBeliefLearningAgent,6,0.0,0,0,100,0,0.668892,-0.0008,-0.0008
HeuristicBeliefLearningAgent,25,0.0,0,0,100,0,0.550265,-0.00289,-0.00289
HeuristicBeliefLearningAgent,20,0.0,0,0,100,0,0.185112,-0.00031,-0.00031
HeuristicBeliefLearningAgent,17,0.0,0,0,100,0,0.003566,-0.00071,-0.00071
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.893082,0.00138,0.00138
HeuristicBeliefLearningAgent,10,0.0,0,0,100,0,0.405425,-0.00103,-0.00103
HeuristicBeliefLearningAgent,19,0.0,0,0,100,0,0.291069,-0.00386,-0.00386
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.185731,0.00461,0.00461
HeuristicBeliefLearningAgent,13,0.0,0,0,100,0,0.502584,0.00109,0.00109
HeuristicBeliefLearningAgent,10,0.0,0,0,100,0,0.28916,-0.0008,-0.0008
RetailExecutionAgent,12,0.9166666666666666,9,10,91,8,2.001208,-0.40012,-0.39545
RetailExecutionAgent,11,0.6363636363636364,3,5,90,9,2.006584,-1.42118,-1.41978
RetailExecutionAgent,19,1.894736842105263,-36,36,94,5,2.003659,-0.98236,-0.99578
RetailExecutionAgent,24,0.5,-10,10,91,8,2.000637,0.33581,0.33215
RetailExecutionAgent,20,0.15,-3,2,90,10,2.004017,-0.02271,-0.0239
RetailExecutionAgent,22,0.45454545454545453,-10,10,95,4,2.004264,2.82076,2.81636
RetailExecutionAgent,13,0.46153846153846156,4,5,92,7,2.008832,-1.11288,-1.11134
RetailExecutionAgent,25,0.0,0,0,100,0,2.001788,1.17809,1.17809
RetailExecutionAgent,26,0.5769230769230769,15,10,100,0,2.008016,3.21964,3.22554
RetailExecutionAgent,21,0.047619047619047616,1,1,100,0,2.000955,-1.03923,-1.03881
RetailExecutionAgent,35,0.02857142857142857,1,1,100,0,2.006427,3.045,3.04543
RetailExecutionAgent,23,0.4782608695652174,1,5,91,8,2.004964,1.14053,1.14096
RetailExecutionAgent,27,0.0,0,0,100,0,2.010184,1.66502,1.66502
RetailExecutionAgent,21,0.47619047619047616,0,5,95,4,2.009057,-1.50686,-1.50686
RetailExecutionAgent,12,0.0,0,0,100,0,2.00636,0.14682,0.14682
RetailExecutionAgent,30,2.1666666666666665,-45,36,90,10,2.003334,20.50236,20.4835
RetailExecutionAgent,23,0.4782608695652174,-11,10,91,8,2.000887,4.1587,4.15426
RetailExecutionAgent,24,1.5,-36,36,95,4,2.002599,0.51061,0.49411
RetailExecutionAgent,19,0.5263157894736842,4,7,94,5,2.009869,-0.73246,-0.73101
RetailExecutionAgent,22,1.0,0,11,95,4,2.001535,-0.47069,-0.47069
RetailExecutionAgent,20,0.0,0,0,100,0,2.001086,-0.35246,-0.35246
RetailExecutionAgent,21,2.3333333333333335,27,20,90,9,2.001923,2.02579,2.03836
RetailExecutionAgent,24,1.5416666666666667,-35,36,95,4,2.002471,-0.73344,-0.74734
RetailExecutionAgent,19,0.5263157894736842,-8,8,89,10,2.008354,-0.10401,-0.10758
RetailExecutionAgent,27,0.5555555555555556,15,10,100,0,2.005914,-1.37092,-1.3652
RetailExecutionAgent,26,0.038461538461538464,-1,1,96,3,2.004797,-1.65993,-1.66032
RetailExecutionAgent,18,0.7222222222222222,13,10,100,0,2.006355,0.36227,0.36734
RetailExecutionAgent,11,0.0,0,0,100,0,2.009195,-1.60486,-1.60486
RetailExecutionAgent,26,0.3076923076923077,4,5,96,3,2.003961,-3.07709,-3.07552
RetailExecutionAgent,20,1.15,-1,11,90,10,2.007452,1.10707,1.1066
