AgentType,TotalOrders,AvgAbsSlippage,NetSlippage,MaxAbsSlippage,PctIn,PctOut,AvgTime,FinalPctProfit,SlipAdjPctProfit,AvgSize
HeuristicBeliefAgent,145,0.0,0,0,100,0,688.253666,-0.8632,-0.8632,148.95604395604394
HeuristicBeliefAgent,170,0.0,0,0,100,0,822.483817,-0.18282,-0.18282,148.57
HeuristicBeliefAgent,138,0.0,0,0,100,0,512.335756,-0.09448,-0.09448,163.14285714285714
HeuristicBeliefAgent,139,0.0,0,0,100,0,710.56035,-1.04634,-1.04634,144.2439024390244
HeuristicBeliefAgent,156,0.0,0,0,100,0,588.89659,-0.11954,-0.11954,156.83116883116884
HeuristicBeliefAgent,155,0.0,0,0,100,0,937.414478,-0.17035,-0.17035,157.04705882352943
HeuristicBeliefAgent,150,0.0,0,0,100,0,1181.837183,-0.15542,-0.15542,182.86315789473684
HeuristicBeliefAgent,133,0.0,0,0,100,0,1252.605847,-0.90111,-0.90111,152.3294117647059
HeuristicBeliefAgent,130,0.0,0,0,100,0,498.698781,-0.00844,-0.00844,166.07692307692307
HeuristicBeliefAgent,152,0.0,0,0,100,0,1061.698606,-0.32157,-0.32157,154.26666666666668
HeuristicBeliefAgent,172,0.0,0,0,100,0,1102.007497,-0.17412,-0.17412,155.5151515151515
HeuristicBeliefAgent,124,0.0,0,0,100,0,600.377704,-0.06855,-0.06855,133.1216216216216
HeuristicBeliefAgent,113,0.0,0,0,100,0,470.690128,-0.24835,-0.24835,158.19117647058823
HeuristicBeliefAgent,160,0.0,0,0,100,0,920.063304,-0.08128,-0.08128,162.41489361702128
HeuristicBeliefAgent,136,0.0,0,0,100,0,819.460117,-0.68903,-0.68903,155.08860759493672
HeuristicBeliefAgent,131,0.0,0,0,100,0,1070.406109,-0.047,-0.047,175.21052631578948
HeuristicBeliefAgent,137,0.0,0,0,100,0,582.011261,-0.46215,-0.46215,161.2948717948718
HeuristicBeliefAgent,148,0.0,0,0,100,0,434.022307,-0.13661,-0.13661,145.1547619047619
HeuristicBeliefAgent,163,0.0,0,0,100,0,665.788496,-0.68975,-0.68975,160.0
HeuristicBeliefAgent,169,0.0,0,0,100,0,830.287695,-0.04984,-0.04984,158.48
HeuristicBeliefAgent,151,0.0,0,0,100,0,829.157694,-0.05273,-0.05273,152.97058823529412
HeuristicBeliefAgent,141,0.0,0,0,100,0,539.042306,-0.39587,-0.39587,162.9620253164557
HeuristicBeliefAgent,126,0.0,0,0,100,0,708.609555,-0.18995,-0.18995,156.8095238095238
HeuristicBeliefAgent,136,0.0,0,0,100,0,1377.919678,-0.26531,-0.26531,154.01282051282053
HeuristicBeliefAgent,157,0.0,0,0,100,0,1178.217558,-0.11874,-0.11874,167.3684210526316
HeuristicBeliefAgent,143,0.0,0,0,100,0,788.852379,-0.2327,-0.2327,143.05376344086022
HeuristicBeliefAgent,143,0.0,0,0,100,0,978.553842,-0.09132,-0.09132,170.70238095238096
HeuristicBeliefAgent,141,0.0,0,0,100,0,553.118784,-0.09221,-0.09221,151.8314606741573
HeuristicBeliefAgent,153,0.0,0,0,100,0,808.22489,-0.35484,-0.35484,164.03092783505156
HeuristicBeliefAgent,148,0.0,0,0,100,0,988.151644,-0.12305,-0.12305,125.66666666666667
HeuristicBeliefAgent,136,0.0,0,0,100,0,1326.523341,-0.03967,-0.03967,149.890243902439
HeuristicBeliefAgent,156,0.0,0,0,100,0,944.981116,-0.22535,-0.22535,150.62105263157895
HeuristicBeliefAgent,149,0.0,0,0,100,0,763.779746,-0.08779,-0.08779,158.33333333333334
HeuristicBeliefAgent,153,0.0,0,0,100,0,935.885946,-0.32472,-0.32472,153.8804347826087
HeuristicBeliefAgent,148,0.0,0,0,100,0,930.726413,-0.2021,-0.2021,164.60416666666666
HeuristicBeliefAgent,142,0.0,0,0,100,0,412.766773,-0.42175,-0.42175,161.04285714285714
HeuristicBeliefAgent,147,0.0,0,0,100,0,852.240625,-0.22038,-0.22038,155.14473684210526
HeuristicBeliefAgent,158,0.0,0,0,100,0,1250.139525,-0.75142,-0.75142,145.04705882352943
HeuristicBeliefAgent,146,0.0,0,0,100,0,808.424615,-0.82962,-0.82962,152.10377358490567
HeuristicBeliefAgent,132,0.0,0,0,100,0,923.172523,-0.18213,-0.18213,148.51162790697674
HeuristicBeliefAgent,162,0.0,0,0,100,0,834.321214,-0.69988,-0.69988,156.56
HeuristicBeliefAgent,168,0.0,0,0,100,0,849.040955,-0.17958,-0.17958,143.69411764705882
HeuristicBeliefAgent,178,0.0,0,0,100,0,897.118962,-0.18618,-0.18618,169.27678571428572
HeuristicBeliefAgent,176,0.0,0,0,100,0,1300.669947,-0.50615,-0.50615,163.4536082474227
HeuristicBeliefAgent,162,0.0,0,0,100,0,672.623873,-0.50081,-0.50081,155.93617021276594
HeuristicBeliefAgent,122,0.0,0,0,100,0,699.447229,-0.40592,-0.40592,151.26436781609195
HeuristicBeliefAgent,152,0.0,0,0,100,0,922.811845,-0.47335,-0.47335,163.0843373493976
HeuristicBeliefAgent,140,0.0,0,0,100,0,777.248613,-0.41838,-0.41838,145.11494252873564
HeuristicBeliefAgent,145,0.0,0,0,100,0,1044.930852,-1.2242,-1.2242,168.40449438202248
HeuristicBeliefAgent,117,0.0,0,0,100,0,479.031601,-0.03757,-0.03757,154.55
HeuristicBeliefAgent,138,0.0,0,0,100,0,974.09899,-0.34099,-0.34099,160.1529411764706
HeuristicBeliefAgent,120,0.0,0,0,100,0,736.477462,-0.07844,-0.07844,142.25316455696202
HeuristicBeliefAgent,155,0.0,0,0,100,0,762.646657,-0.65483,-0.65483,152.87234042553192
HeuristicBeliefAgent,150,0.0,0,0,100,0,630.834949,-0.02792,-0.02792,164.17582417582418
HeuristicBeliefAgent,169,0.0,0,0,100,0,619.452348,-1.12862,-1.12862,147.9787234042553
