EventType,Event
ENDING_CASH,$2624.32
TOTAL_ORDERS,33
TOTAL_FILLED,33
AVG_ABS_SLIPPAGE,0.8787878787878788
NET_SLIPPAGE,-27
MAX_ABS_SLIPPAGE,21
PCT_IN,87
PCT_OUT,12
AVG_TIME,2.005834
AVG_SIZE,2.0606060606060606
SLIP_ADJ_PCT_PROFIT,0.12133
FINAL_PCT_PROFIT,0.13164
STARTING_CASH,$2620.87
ENDING_CASH,$2624.32
