EventType,Event
TOTAL_ORDERS,23
TOTAL_FILLED,12
AVG_ABS_SLIPPAGE,0.0
NET_SLIPPAGE,0
MAX_ABS_SLIPPAGE,0
PCT_IN,100
PCT_OUT,0
AVG_TIME,0.337371
SLIP_ADJ_PCT_PROFIT,0.00071
FINAL_PCT_PROFIT,0.00071
STARTING_CASH,$53525361.90
ENDING_CASH,$53525741.98
