EventType,Event
ENDING_CASH,$1003.72
TOTAL_ORDERS,2
TOTAL_FILLED,2
AVG_ABS_SLIPPAGE,0.0
NET_SLIPPAGE,0
MAX_ABS_SLIPPAGE,0
PCT_IN,100
PCT_OUT,0
AVG_TIME,0.00981
SLIP_ADJ_PCT_PROFIT,0.372
FINAL_VALUATION,-6.11758
STARTING_CASH,$1000.00
ENDING_CASH,$1003.72
