EventType,Event
ENDING_CASH,$499979363.71
TOTAL_ORDERS,5014284
TOTAL_FILLED,1476
AVG_ABS_SLIPPAGE,0.0
NET_SLIPPAGE,0
MAX_ABS_SLIPPAGE,0
PCT_IN,100
PCT_OUT,0
AVG_TIME,0.465748
SLIP_ADJ_PCT_PROFIT,-0.00413
STARTING_CASH,$500000000.00
ENDING_CASH,$499979363.71
