EventType,Event
ASK_DEPTH,"[(9861, 499)]"
IMBALANCE,"[153, 499]"
BID_DEPTH,"[(9829, 183)]"
ASK_DEPTH,"[(9839, 897)]"
IMBALANCE,"[183, 897]"
FINAL_HOLDINGS,{ CASH: 5352536190 }
FINAL_CASH_POSITION,5352536190
ENDING_CASH,$53525361.90
No orders executed,
FINAL_PCT_PROFIT,0.0
STARTING_CASH,$53525361.90
ENDING_CASH,$53525361.90
